start,end
2014-02-07T12:09:36.04Z, 2014-02-07T12:15:12.72Z
2014-06-28T16:48:37.36Z, 2014-06-28T16:48:59.31Z
2014-06-28T18:12:33.25Z, 2014-06-28T18:12:42.641
2015-05-18T15:56:06.21Z, 2015-05-18T15:56:16.751
2015-05-18T17:31:06.12Z, 2015-05-18T17:31:16.751
2015-08-09T06:57:07.52Z, 2015-08-09T07:18:13.48Z
2015-08-09T08:32:42.68Z, 2015-08-09T08:53:48.62Z
2015-07-04T17:17:08.68Z, 2015-07-04T17:32:14.34Z
2015-07-04T18:52:07.84Z, 2015-07-04T19:11:48.06Z
2015-07-25T18:35:56.40Z, 2015-07-25T18:56:23.43Z
2015-07-16T18:29:28.31Z, 2015-07-16T18:48:49.56Z
2015-07-16T20:06:03.79Z, 2015-07-16T20:25:25.24Z
2015-07-16T21:45:46.68Z, 2015-07-16T21:48:09.646
2014-07-29T18:55:30.56Z, 2014-07-29T19:14:03.44Z
2015-03-12T05:52:08.90Z, 2015-03-12T06:07:00.06Z
2015-03-12T07:27:43.84Z, 2015-03-12T07:45:59.71Z
2015-03-12T09:04:21.96Z, 2015-03-12T09:21:34.41Z
2015-03-12T10:43:21.11Z, 2015-03-12T10:56:37.93Z
2015-03-12T12:26:27.12Z, 2015-03-12T12:28:32.93Z
2015-03-12T15:03:16.64Z, 2015-03-12T15:10:47.68Z
2015-03-12T16:38:20.37Z, 2015-03-12T16:50:44.49Z
2015-08-21T03:22:27.21Z, 2015-08-21T03:34:00.80Z
2017-07-09T08:23:24.02Z, 2017-07-09T08:40:47.44Z
2017-07-09T10:02:37.97Z, 2017-07-09T10:15:56.21Z
2017-07-09T11:42:53.34Z, 2017-07-09T11:49:01.65Z
2017-07-09T14:23:30.34Z, 2017-07-09T14:28:37.20Z
2015-05-07T16:46:39.90Z, 2015-05-07T16:51:35.14Z
2015-05-07T18:14:23.65Z, 2015-05-07T18:31:36.55Z
2015-05-07T19:50:19.05Z, 2015-05-07T20:08:53.99Z
2014-02-05T15:39:21.420, 2014-02-05T15:46:24.60Z
2014-01-05T14:42:41.09Z, 2014-01-05T14:46:45.06Z
2014-09-04T11:24:57.02Z, 2014-09-04T11:25:34.98Z
2014-09-04T15:33:46.48Z, 2014-09-04T15:41:58.46Z
2015-08-28T02:48:09.86Z, 2015-08-28T02:49:04.32Z
2015-08-28T02:52:06.02Z, 2015-08-28T02:54:49.54Z
2014-02-11T05:36:00.09Z, 2014-02-11T05:40:16.017
2014-12-14T17:15:34.920, 2014-12-14T17:27:23.65Z
2014-09-25T22:09:15.570, 2014-09-25T22:17:43.43Z
2014-10-07T07:54:38.64Z, 2014-10-07T08:06:28.00Z
2014-10-07T09:25:47.21Z, 2014-10-07T09:41:57.77Z
2014-06-28T21:42:48.240, 2014-06-28T21:43:07.37Z
2015-02-18T21:12:34.81Z, 2015-02-18T21:31:35.81Z
2014-05-11T08:08:21.03Z, 2014-05-11T08:26:13.91Z
2014-05-11T09:46:19.88Z, 2014-05-11T10:01:53.15Z
2014-12-14T15:38:52.19Z, 2014-12-14T15:47:24.46Z
2014-06-26T22:32:37.35Z, 2014-06-26T22:33:05.65Z
2014-06-27T00:03:55.33Z, 2014-06-27T00:05:16.18Z
2014-09-02T08:48:13.62Z, 2014-09-02T09:05:38.77Z
2014-09-02T10:27:18.06Z, 2014-09-02T10:41:18.31Z
2015-10-11T03:01:12.49Z, 2015-10-11T03:06:50.67Z
2015-10-11T04:36:41.12Z, 2015-10-11T04:47:19.04Z
2014-05-16T08:28:09.16Z, 2014-05-16T08:46:02.63Z
2014-05-16T10:06:45.69Z, 2014-05-16T10:21:32.31Z
